ticker,name,price_ghs,volume,error,eps,pe_ratio,div_per_share,div_yield,market_cap_raw,ret_1wk,ret_4wk,ret_3mo,ret_6mo,ret_1yr,ret_ytd,recent_close,avg_volume_10d,vol_proxy_10d
AADS,AngloGold Ashanti Depositary Shares,0.42,,,1.2614,0.33,0.1308,0.311,41.1M,,,,,0.024399999999999998,,0.42,17345.6,
ACCESS,Access Bank Ghana,27.6,90.0,,2.6203,10.53,,,4.8B,-0.098,-0.27,0.551,0.7040000000000001,2.0,0.7040000000000001,27.6,580.6,
ADB,Agricultural Development Bank,5.3,6.0,,0.2456,21.58,,,8.76B,,0.047400000000000005,0.047400000000000005,0.047400000000000005,0.047400000000000005,0.047400000000000005,5.3,118.2,
AGA,AngloGold Ashanti Limited,37.0,,,126.138,0.29,13.0788,0.354,18.7B,,,,,,,37.0,273.6,
ALLGH,Atlantic Lithium Ltd,8.46,11954.0,,,,,,5.86B,0.08460000000000001,0.175,0.382,0.382,0.382,0.382,8.46,11520.0,
ALW,Aluworks Limited,0.1,,,-0.3166,-0.32,,,23.7M,,,,,,,0.1,1863.4,
ASG,Asante Gold Corp,8.89,,,-4.5399,-1.96,,,8.02B,,,,,,,8.89,50.9,
BOPP,Benso Oil Palm Plantation Limited,85.5,1490.0,,2.1943,38.96,0.242,0.0028000000000000004,2.98B,,-0.145,0.336,1.06,1.87,0.532,85.5,1521.7,
CAL,CalBank Plc,0.76,142557.0,,0.1009,7.53,,,3.22B,-0.136,-0.013000000000000001,-0.0617,0.9,0.16899999999999998,0.188,0.76,209678.8,0.03267199179142661
CLYD,Clydestone Ghana Limited,1.97,5000.0,,0.0643,30.64,,,67M,0.201,0.49200000000000005,2.94,4.47,,3.28,1.97,4646.2,0.0433060206965663
CMLT,Camelot Ghana Limited,0.14,,,0.4768,0.29,0.086,0.614,956099,,,,,,,0.14,56429.4,
CPC,Cocoa Processing Company Limited,0.12,,,-0.0752,-1.6,,,245M,,,1.0,2.0,5.0,1.4,0.12,2766.0,0.010116488191726083
DASPHARMA,Dannex Ayrton Starwin Plc,0.41,571.0,,0.0917,4.47,,,34.8M,,,0.0789,0.0789,0.0789,0.0789,0.41,495.6,
DIGICUT,Digicut Production & Advertising,0.09,,,0.0047,19.15,,,10.7M,,,,,,,0.09,29978.1,
EGH,Ecobank Ghana Limited,48.85,285.0,,5.4482,8.97,,,15.8B,,-0.001,0.6859999999999999,2.16,6.28,0.9540000000000001,48.85,993.1,
EGL,Enterprise Group Limited,10.64,2168.0,,1.2394,8.58,0.164,0.0154,1.82B,-0.0009,-0.0658,1.36,2.08,3.0,2.06,10.64,4675.1,0.018821618775581802
