ticker,name,price_ghs,volume
AADS,AngloGold Ashanti Depositary Shares,0.42,
ACCESS,Access Bank Ghana,27.6,90.0
ADB,Agricultural Development Bank,5.3,6.0
AGA,AngloGold Ashanti Limited,37.0,
ALLGH,Atlantic Lithium Ltd,8.46,11954.0
ALW,Aluworks Limited,0.1,
ASG,Asante Gold Corp,8.89,
BOPP,Benso Oil Palm Plantation Limited,85.5,1490.0
CAL,CalBank Plc,0.76,142557.0
CLYD,Clydestone Ghana Limited,1.97,5000.0
CMLT,Camelot Ghana Limited,0.14,
CPC,Cocoa Processing Company Limited,0.12,
DASPHARMA,Dannex Ayrton Starwin Plc,0.41,571.0
DIGICUT,Digicut Production & Advertising,0.09,
EGH,Ecobank Ghana Limited,48.85,285.0
EGL,Enterprise Group Limited,10.64,2168.0
ETI,Ecobank Transnational Incorporated,1.53,230686.0
FAB,First Atlantic Bank,7.97,
FML,Fan Milk Plc,13.34,1549.0
GCB,GCB Bank Limited,36.0,1972.0
GGBL,Guinness Ghana Breweries Limited,14.96,950.0
GLD,NewGold ETF,497.01,49.0
GOIL,Ghana Oil Company Limited,7.94,33460.0
HORDS,Hords Limited,0.1,
IIL,Intravenous Infusions Limited,0.06,2000.0
MAC,Mega African Capital Limited,5.2,
MMH,Meridian-Marshall Holdings,0.1,
MTNGH,MTN Ghana,6.5,515689.0
PBC,Produce Buying Company Limited,0.02,
RBGH,Republic Bank Ghana Limited,5.5,438.0
SAMBA,Samba Foods Limited,0.55,
SCB,Standard Chartered Bank Limited,71.38,33.0
SCBPREF,Stanchart Preferential Shares,0.9,
SIC,SIC Insurance Company Limited,5.77,9058.0
SOGEGH,Societe Generale Ghana Limited,6.46,8881.0
TBL,Trust Bank Gambia Limited,1.2,
TLW,Tullow Oil Plc,11.92,266.0
TOTAL,TotalEnergies Marketing Ghana,32.99,9614.0
UNIL,Unilever Ghana Limited,30.0,628.0
ZEN,ZEN Petroleum Holdings,7.55,
